PROJECT	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA
PRD000167;PRIDE_Exp_Complete_Ac_10441.xml	19	18	1	NA	1
PRD000167;PRIDE_Exp_Complete_Ac_10442.xml	9	9	NA	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10443.xml	21	20	1	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10444.xml	26	25	1	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10445.xml	13	13	NA	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10446.xml	11	10	1	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10447.xml	33	33	NA	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10448.xml	16	14	2	1	NA
PRD000167;PRIDE_Exp_Complete_Ac_10449.xml	19	19	NA	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10450.xml	13	11	2	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10451.xml	38	33	5	1	1
PRD000167;PRIDE_Exp_Complete_Ac_10452.xml	34	31	3	2	1
PRD000167;PRIDE_Exp_Complete_Ac_10453.xml	29	29	NA	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10454.xml	26	26	NA	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10455.xml	20	20	NA	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10456.xml	23	22	1	NA	1
PRD000167;PRIDE_Exp_Complete_Ac_10457.xml	26	26	NA	2	NA
PRD000167;PRIDE_Exp_Complete_Ac_10458.xml	28	28	NA	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10459.xml	29	28	1	NA	1
PRD000167;PRIDE_Exp_Complete_Ac_10460.xml	29	25	4	NA	1
PRD000167;PRIDE_Exp_Complete_Ac_10461.xml	30	29	1	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10462.xml	1	1	NA	1	NA
PRD000167;PRIDE_Exp_Complete_Ac_10463.xml	25	21	4	NA	1
PRD000167;PRIDE_Exp_Complete_Ac_10464.xml	14	11	3	NA	1
PRD000167;PRIDE_Exp_Complete_Ac_10465.xml	9	9	NA	NA	NA
PRD000167;PRIDE_Exp_Complete_Ac_10466.xml	17	15	2	NA	NA
PRD000168;PRIDE_Exp_Complete_Ac_10419.xml	2686	2686	NA	17	NA
PRD000168;PRIDE_Exp_Complete_Ac_10420.xml	2684	2684	NA	13	NA
PRD000168;PRIDE_Exp_Complete_Ac_10421.xml	2805	2805	NA	10	NA
PRD000168;PRIDE_Exp_Complete_Ac_10422.xml	2631	2627	4	16	NA
PRD000168;PRIDE_Exp_Complete_Ac_10423.xml	3856	3854	2	11	NA
PRD000168;PRIDE_Exp_Complete_Ac_10424.xml	4188	4188	NA	7	NA
PRD000168;PRIDE_Exp_Complete_Ac_10425.xml	3159	3159	NA	8	NA
PRD000168;PRIDE_Exp_Complete_Ac_10426.xml	3226	3226	NA	12	NA
PRD000169;PRIDE_Exp_Complete_Ac_10470.xml	415	402	13	179	4
PRD000172;PRIDE_Exp_Complete_Ac_10531.xml	2496	2404	92	281	15
PRD000172;PRIDE_Exp_Complete_Ac_10532.xml	368	206	162	7	134
PRD000172;PRIDE_Exp_Complete_Ac_10533.xml	751	601	150	106	137
PRD000172;PRIDE_Exp_Complete_Ac_10534.xml	913	748	165	136	150
PRD000172;PRIDE_Exp_Complete_Ac_10535.xml	185	157	28	21	23
PRD000172;PRIDE_Exp_Complete_Ac_10536.xml	1202	1169	33	81	8
PRD000174;PRIDE_Exp_Complete_Ac_10538.xml	5	5	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10539.xml	4	4	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10540.xml	4	4	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10541.xml	22	22	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10545.xml	11	11	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10546.xml	7	7	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10549.xml	3	3	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10551.xml	11	11	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10553.xml	3	3	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10556.xml	12	12	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10557.xml	43	43	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10558.xml	2	2	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10559.xml	2	2	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10561.xml	1	1	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10562.xml	23	23	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10564.xml	16	16	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10565.xml	2	2	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10569.xml	3	3	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10571.xml	1	1	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10575.xml	18	18	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10581.xml	3	3	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10586.xml	4	4	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10587.xml	3	3	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10592.xml	2	2	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10593.xml	4	4	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10594.xml	10	10	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10595.xml	12	12	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10596.xml	5	5	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10597.xml	5	5	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10598.xml	6	6	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10599.xml	4	4	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10601.xml	16	16	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10606.xml	58	58	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10609.xml	5	5	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10611.xml	3	3	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10613.xml	12	12	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10614.xml	10	10	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10615.xml	1	1	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10617.xml	4	4	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10620.xml	13	13	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10622.xml	18	18	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10623.xml	21	21	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10624.xml	7	7	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10625.xml	20	20	NA	NA	NA
PRD000174;PRIDE_Exp_Complete_Ac_10626.xml	2	2	NA	NA	NA
PRD000176;PRIDE_Exp_Complete_Ac_10632.xml	27019	26910	109	539	11
PRD000176;PRIDE_Exp_Complete_Ac_10633.xml	24091	23998	93	437	26
PRD000178;PRIDE_Exp_Complete_Ac_10639.xml	4974	4959	15	291	NA
PRD000178;PRIDE_Exp_Complete_Ac_10885.xml	2460	2449	11	129	NA
PRD000178;PRIDE_Exp_Complete_Ac_10886.xml	4026	4021	5	197	NA
PRD000178;PRIDE_Exp_Complete_Ac_10887.xml	4974	4959	15	291	NA
PRD000180;PRIDE_Exp_Complete_Ac_10648.xml	13	13	NA	NA	NA
PRD000181;PRIDE_Exp_Complete_Ac_10679.xml	6590	6575	15	399	NA
PRD000181;PRIDE_Exp_Complete_Ac_10680.xml	6176	6168	8	404	NA
PRD000182;PRIDE_Exp_Complete_Ac_10723.xml	2614	2613	1	593	NA
PRD000182;PRIDE_Exp_Complete_Ac_10724.xml	5081	5078	3	438	NA
PRD000182;PRIDE_Exp_Complete_Ac_10725.xml	2493	2491	2	514	NA
PRD000191;PRIDE_Exp_Complete_Ac_11339.xml	965	965	NA	NA	NA
PRD000191;PRIDE_Exp_Complete_Ac_11340.xml	805	805	NA	NA	NA
PRD000191;PRIDE_Exp_Complete_Ac_11341.xml	1220	1220	NA	NA	NA
PRD000191;PRIDE_Exp_Complete_Ac_11342.xml	958	956	2	NA	NA
PRD000191;PRIDE_Exp_Complete_Ac_11350.xml	879	879	NA	NA	NA
PRD000191;PRIDE_Exp_Complete_Ac_11351.xml	643	643	NA	NA	NA
PRD000191;PRIDE_Exp_Complete_Ac_11352.xml	1088	1088	NA	NA	NA
PRD000191;PRIDE_Exp_Complete_Ac_11353.xml	808	808	NA	NA	NA
PRD000192;PRIDE_Exp_Complete_Ac_11343.xml	1041	1040	1	NA	NA
PRD000192;PRIDE_Exp_Complete_Ac_11344.xml	1016	1016	NA	NA	NA
PRD000192;PRIDE_Exp_Complete_Ac_11345.xml	1161	1160	1	NA	NA
PRD000192;PRIDE_Exp_Complete_Ac_11346.xml	616	616	NA	NA	NA
PRD000192;PRIDE_Exp_Complete_Ac_11354.xml	1050	1048	2	NA	NA
PRD000192;PRIDE_Exp_Complete_Ac_11355.xml	1199	1199	NA	NA	NA
PRD000192;PRIDE_Exp_Complete_Ac_11356.xml	1236	1236	NA	NA	NA
PRD000192;PRIDE_Exp_Complete_Ac_11358.xml	892	892	NA	NA	NA
PRD000193;PRIDE_Exp_Complete_Ac_11347.xml	1314	1314	NA	NA	NA
PRD000193;PRIDE_Exp_Complete_Ac_11348.xml	1244	1244	NA	NA	NA
PRD000193;PRIDE_Exp_Complete_Ac_11349.xml	919	919	NA	NA	NA
PRD000193;PRIDE_Exp_Complete_Ac_11357.xml	1498	1498	NA	NA	NA
PRD000193;PRIDE_Exp_Complete_Ac_11359.xml	1481	1481	NA	NA	NA
PRD000193;PRIDE_Exp_Complete_Ac_11360.xml	1197	1197	NA	NA	NA
PRD000193;PRIDE_Exp_Complete_Ac_11361.xml	1184	1184	NA	NA	NA
PRD000193;PRIDE_Exp_Complete_Ac_11362.xml	912	912	NA	NA	NA
PRD000194;PRIDE_Exp_Complete_Ac_11364.xml	29871	29803	68	244	15
PRD000194;PRIDE_Exp_Complete_Ac_11365.xml	5139	5135	4	96	2
PRD000194;PRIDE_Exp_Complete_Ac_11366.xml	832	820	12	124	9
PRD000194;PRIDE_Exp_Complete_Ac_11367.xml	8794	8769	25	168	4
PRD000194;PRIDE_Exp_Complete_Ac_11368.xml	37425	37345	80	333	17
PRD000194;PRIDE_Exp_Complete_Ac_11369.xml	1308	1292	16	9	9
PRD000194;PRIDE_Exp_Complete_Ac_11370.xml	5235	5227	8	138	6
PRD000194;PRIDE_Exp_Complete_Ac_11372.xml	1	1	NA	NA	NA
PRD000194;PRIDE_Exp_Complete_Ac_11373.xml	676	656	20	16	19
PRD000194;PRIDE_Exp_Complete_Ac_11374.xml	2	2	NA	1	NA
PRD000194;PRIDE_Exp_Complete_Ac_11375.xml	250	247	3	15	3
PRD000194;PRIDE_Exp_Complete_Ac_11376.xml	204	197	7	4	6
PRD000194;PRIDE_Exp_Complete_Ac_11377.xml	4824	4817	7	67	1
PRD000194;PRIDE_Exp_Complete_Ac_11378.xml	1	1	NA	NA	NA
PRD000194;PRIDE_Exp_Complete_Ac_11379.xml	6	6	NA	1	NA
PRD000204;PRIDE_Exp_Complete_Ac_11695.xml	238	233	5	NA	NA
PRD000204;PRIDE_Exp_Complete_Ac_11696.xml	833	832	1	NA	NA
PRD000204;PRIDE_Exp_Complete_Ac_11697.xml	434	432	2	NA	2
PRD000204;PRIDE_Exp_Complete_Ac_11698.xml	813	812	1	NA	1
PRD000204;PRIDE_Exp_Complete_Ac_11699.xml	1025	1023	2	NA	1
PRD000204;PRIDE_Exp_Complete_Ac_11700.xml	162	160	2	NA	NA
PRD000204;PRIDE_Exp_Complete_Ac_11701.xml	240	234	6	NA	NA
PRD000204;PRIDE_Exp_Complete_Ac_11702.xml	262	262	NA	NA	NA
PRD000204;PRIDE_Exp_Complete_Ac_11703.xml	243	243	NA	NA	NA
PRD000204;PRIDE_Exp_Complete_Ac_11704.xml	259	256	3	NA	NA
PRD000204;PRIDE_Exp_Complete_Ac_11705.xml	219	213	6	NA	1
PRD000204;PRIDE_Exp_Complete_Ac_11706.xml	110	110	NA	NA	NA
PRD000211;PRIDE_Exp_Complete_Ac_11792.xml	55	55	NA	55	NA
PRD000211;PRIDE_Exp_Complete_Ac_11793.xml	39	39	NA	39	NA
PRD000211;PRIDE_Exp_Complete_Ac_12564.xml	8	8	NA	8	NA
PRD000211;PRIDE_Exp_Complete_Ac_12565.xml	4	4	NA	4	NA
PRD000211;PRIDE_Exp_Complete_Ac_12566.xml	14	14	NA	14	NA
PRD000211;PRIDE_Exp_Complete_Ac_12568.xml	1	1	NA	1	NA
PRD000211;PRIDE_Exp_Complete_Ac_12571.xml	1	1	NA	NA	NA
PRD000211;PRIDE_Exp_Complete_Ac_12572.xml	5	4	1	NA	1
PRD000211;PRIDE_Exp_Complete_Ac_12573.xml	3	3	NA	NA	NA
PRD000211;PRIDE_Exp_Complete_Ac_12574.xml	8	8	NA	NA	NA
PRD000211;PRIDE_Exp_Complete_Ac_12575.xml	4	4	NA	NA	NA
PRD000211;PRIDE_Exp_Complete_Ac_13515.xml	3	3	NA	2	NA
PRD000211;PRIDE_Exp_Complete_Ac_13516.xml	1	1	NA	1	NA
PRD000212;PRIDE_Exp_Complete_Ac_12085.xml	650	649	1	128	NA
PRD000212;PRIDE_Exp_Complete_Ac_12086.xml	656	655	1	205	NA
PRD000212;PRIDE_Exp_Complete_Ac_12088.xml	572	572	NA	179	NA
PRD000212;PRIDE_Exp_Complete_Ac_12089.xml	884	883	1	259	1
PRD000212;PRIDE_Exp_Complete_Ac_12090.xml	600	599	1	201	1
PRD000212;PRIDE_Exp_Complete_Ac_12091.xml	849	847	2	180	NA
PRD000214;PRIDE_Exp_Complete_Ac_11797.xml	43	43	NA	16	NA
PRD000214;PRIDE_Exp_Complete_Ac_11798.xml	60	60	NA	50	NA
PRD000214;PRIDE_Exp_Complete_Ac_11799.xml	825	823	2	451	2
PRD000214;PRIDE_Exp_Complete_Ac_11800.xml	81	81	NA	68	NA
PRD000214;PRIDE_Exp_Complete_Ac_11801.xml	975	973	2	442	1
PRD000214;PRIDE_Exp_Complete_Ac_11802.xml	181	181	NA	5	NA
PRD000214;PRIDE_Exp_Complete_Ac_11803.xml	67	67	NA	3	NA
PRD000214;PRIDE_Exp_Complete_Ac_11805.xml	485	481	4	359	4
PRD000214;PRIDE_Exp_Complete_Ac_11806.xml	25	25	NA	2	NA
PRD000214;PRIDE_Exp_Complete_Ac_11807.xml	593	587	6	254	2
PRD000214;PRIDE_Exp_Complete_Ac_11808.xml	49	49	NA	8	NA
PRD000214;PRIDE_Exp_Complete_Ac_11809.xml	397	397	NA	44	NA
PRD000214;PRIDE_Exp_Complete_Ac_11810.xml	20	20	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11811.xml	585	582	3	216	2
PRD000214;PRIDE_Exp_Complete_Ac_11812.xml	34	34	NA	5	NA
PRD000214;PRIDE_Exp_Complete_Ac_11813.xml	12	12	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11814.xml	340	332	8	74	NA
PRD000214;PRIDE_Exp_Complete_Ac_11815.xml	603	597	6	178	3
PRD000214;PRIDE_Exp_Complete_Ac_11816.xml	61	61	NA	10	NA
PRD000214;PRIDE_Exp_Complete_Ac_11817.xml	143	143	NA	46	NA
PRD000214;PRIDE_Exp_Complete_Ac_11818.xml	19	19	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11819.xml	18	17	1	1	NA
PRD000214;PRIDE_Exp_Complete_Ac_11820.xml	103	103	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11821.xml	528	528	NA	32	NA
PRD000214;PRIDE_Exp_Complete_Ac_11822.xml	59	59	NA	43	NA
PRD000214;PRIDE_Exp_Complete_Ac_11823.xml	24	24	NA	1	NA
PRD000214;PRIDE_Exp_Complete_Ac_11824.xml	101	101	NA	19	NA
PRD000214;PRIDE_Exp_Complete_Ac_11825.xml	153	153	NA	17	NA
PRD000214;PRIDE_Exp_Complete_Ac_11826.xml	15	15	NA	3	NA
PRD000214;PRIDE_Exp_Complete_Ac_11827.xml	143	142	1	37	1
PRD000214;PRIDE_Exp_Complete_Ac_11828.xml	102	102	NA	6	NA
PRD000214;PRIDE_Exp_Complete_Ac_11829.xml	15	15	NA	4	NA
PRD000214;PRIDE_Exp_Complete_Ac_11830.xml	16	16	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11831.xml	1379	1374	5	43	1
PRD000214;PRIDE_Exp_Complete_Ac_11832.xml	2353	2337	16	276	1
PRD000214;PRIDE_Exp_Complete_Ac_11835.xml	724	723	1	80	1
PRD000214;PRIDE_Exp_Complete_Ac_11836.xml	39	39	NA	38	NA
PRD000214;PRIDE_Exp_Complete_Ac_11837.xml	33	33	NA	1	NA
PRD000214;PRIDE_Exp_Complete_Ac_11838.xml	26	26	NA	4	NA
PRD000214;PRIDE_Exp_Complete_Ac_11839.xml	207	206	1	71	1
PRD000214;PRIDE_Exp_Complete_Ac_11840.xml	54	54	NA	9	NA
PRD000214;PRIDE_Exp_Complete_Ac_11841.xml	353	349	4	162	2
PRD000214;PRIDE_Exp_Complete_Ac_11842.xml	429	429	NA	118	NA
PRD000214;PRIDE_Exp_Complete_Ac_11843.xml	207	206	1	2	NA
PRD000214;PRIDE_Exp_Complete_Ac_11844.xml	1060	1060	NA	133	NA
PRD000214;PRIDE_Exp_Complete_Ac_11845.xml	1934	1923	11	49	1
PRD000214;PRIDE_Exp_Complete_Ac_11846.xml	582	579	3	44	NA
PRD000214;PRIDE_Exp_Complete_Ac_11847.xml	75	75	NA	65	NA
PRD000214;PRIDE_Exp_Complete_Ac_11848.xml	71	71	NA	58	NA
PRD000214;PRIDE_Exp_Complete_Ac_11849.xml	286	286	NA	52	NA
PRD000214;PRIDE_Exp_Complete_Ac_11850.xml	812	812	NA	63	NA
PRD000214;PRIDE_Exp_Complete_Ac_11851.xml	475	474	1	208	1
PRD000214;PRIDE_Exp_Complete_Ac_11852.xml	85	85	NA	58	NA
PRD000214;PRIDE_Exp_Complete_Ac_11853.xml	507	506	1	191	1
PRD000214;PRIDE_Exp_Complete_Ac_11854.xml	199	199	NA	9	NA
PRD000214;PRIDE_Exp_Complete_Ac_11855.xml	107	107	NA	80	NA
PRD000214;PRIDE_Exp_Complete_Ac_11856.xml	340	340	NA	15	NA
PRD000214;PRIDE_Exp_Complete_Ac_11857.xml	12	12	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11858.xml	509	508	1	118	1
PRD000214;PRIDE_Exp_Complete_Ac_11859.xml	823	823	NA	70	NA
PRD000214;PRIDE_Exp_Complete_Ac_11860.xml	128	128	NA	17	NA
PRD000214;PRIDE_Exp_Complete_Ac_11861.xml	642	641	1	305	1
PRD000214;PRIDE_Exp_Complete_Ac_11862.xml	71	71	NA	10	NA
PRD000214;PRIDE_Exp_Complete_Ac_11863.xml	15	15	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11864.xml	687	683	4	143	3
PRD000214;PRIDE_Exp_Complete_Ac_11865.xml	16	16	NA	2	NA
PRD000214;PRIDE_Exp_Complete_Ac_11866.xml	30	30	NA	12	NA
PRD000214;PRIDE_Exp_Complete_Ac_11867.xml	157	152	5	60	2
PRD000214;PRIDE_Exp_Complete_Ac_11868.xml	134	134	NA	23	NA
PRD000214;PRIDE_Exp_Complete_Ac_11869.xml	304	304	NA	17	NA
PRD000214;PRIDE_Exp_Complete_Ac_11870.xml	27	27	NA	7	NA
PRD000214;PRIDE_Exp_Complete_Ac_11871.xml	1712	1704	8	45	1
PRD000214;PRIDE_Exp_Complete_Ac_11872.xml	298	298	NA	37	NA
PRD000214;PRIDE_Exp_Complete_Ac_11873.xml	39	39	NA	9	NA
PRD000214;PRIDE_Exp_Complete_Ac_11874.xml	25	25	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11875.xml	349	346	3	68	1
PRD000214;PRIDE_Exp_Complete_Ac_11876.xml	68	68	NA	5	NA
PRD000214;PRIDE_Exp_Complete_Ac_11877.xml	474	474	NA	78	NA
PRD000214;PRIDE_Exp_Complete_Ac_11878.xml	133	133	NA	25	NA
PRD000214;PRIDE_Exp_Complete_Ac_11879.xml	2	2	NA	2	NA
PRD000214;PRIDE_Exp_Complete_Ac_11880.xml	81	81	NA	7	NA
PRD000214;PRIDE_Exp_Complete_Ac_11881.xml	541	536	5	189	1
PRD000214;PRIDE_Exp_Complete_Ac_11882.xml	189	188	1	118	NA
PRD000214;PRIDE_Exp_Complete_Ac_11883.xml	75	75	NA	44	NA
PRD000214;PRIDE_Exp_Complete_Ac_11884.xml	17	17	NA	2	NA
PRD000214;PRIDE_Exp_Complete_Ac_11885.xml	58	58	NA	1	NA
PRD000214;PRIDE_Exp_Complete_Ac_11886.xml	6	6	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11887.xml	631	628	3	104	3
PRD000214;PRIDE_Exp_Complete_Ac_11889.xml	121	121	NA	17	NA
PRD000214;PRIDE_Exp_Complete_Ac_11890.xml	59	59	NA	2	NA
PRD000214;PRIDE_Exp_Complete_Ac_11892.xml	215	215	NA	76	NA
PRD000214;PRIDE_Exp_Complete_Ac_11893.xml	86	86	NA	28	NA
PRD000214;PRIDE_Exp_Complete_Ac_11894.xml	88	88	NA	17	NA
PRD000214;PRIDE_Exp_Complete_Ac_11895.xml	439	429	10	108	1
PRD000214;PRIDE_Exp_Complete_Ac_11896.xml	25	25	NA	22	NA
PRD000214;PRIDE_Exp_Complete_Ac_11897.xml	300	300	NA	4	NA
PRD000214;PRIDE_Exp_Complete_Ac_11898.xml	116	116	NA	93	NA
PRD000214;PRIDE_Exp_Complete_Ac_11899.xml	676	676	NA	176	NA
PRD000214;PRIDE_Exp_Complete_Ac_11901.xml	488	487	1	12	NA
PRD000214;PRIDE_Exp_Complete_Ac_11902.xml	225	225	NA	9	NA
PRD000214;PRIDE_Exp_Complete_Ac_11903.xml	798	798	NA	184	NA
PRD000214;PRIDE_Exp_Complete_Ac_11904.xml	150	150	NA	105	NA
PRD000214;PRIDE_Exp_Complete_Ac_11905.xml	785	785	NA	73	NA
PRD000214;PRIDE_Exp_Complete_Ac_11906.xml	111	111	NA	11	NA
PRD000214;PRIDE_Exp_Complete_Ac_11907.xml	104	104	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11908.xml	510	509	1	184	1
PRD000214;PRIDE_Exp_Complete_Ac_11909.xml	2023	2015	8	157	NA
PRD000214;PRIDE_Exp_Complete_Ac_11910.xml	318	318	NA	82	NA
PRD000214;PRIDE_Exp_Complete_Ac_11911.xml	722	722	NA	46	NA
PRD000214;PRIDE_Exp_Complete_Ac_11912.xml	30	30	NA	3	NA
PRD000214;PRIDE_Exp_Complete_Ac_11913.xml	178	176	2	109	2
PRD000214;PRIDE_Exp_Complete_Ac_11914.xml	307	305	2	209	2
PRD000214;PRIDE_Exp_Complete_Ac_11915.xml	394	393	1	83	1
PRD000214;PRIDE_Exp_Complete_Ac_11916.xml	230	230	NA	25	NA
PRD000214;PRIDE_Exp_Complete_Ac_11917.xml	67	67	NA	55	NA
PRD000214;PRIDE_Exp_Complete_Ac_11919.xml	87	87	NA	1	NA
PRD000214;PRIDE_Exp_Complete_Ac_11920.xml	281	263	18	159	17
PRD000214;PRIDE_Exp_Complete_Ac_11921.xml	131	131	NA	23	NA
PRD000214;PRIDE_Exp_Complete_Ac_11922.xml	739	739	NA	50	NA
PRD000214;PRIDE_Exp_Complete_Ac_11923.xml	2413	2405	8	148	3
PRD000214;PRIDE_Exp_Complete_Ac_11924.xml	638	636	2	69	NA
PRD000214;PRIDE_Exp_Complete_Ac_11925.xml	40	40	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11927.xml	17	17	NA	5	NA
PRD000214;PRIDE_Exp_Complete_Ac_11928.xml	9	8	1	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11929.xml	153	153	NA	2	NA
PRD000214;PRIDE_Exp_Complete_Ac_11930.xml	33	33	NA	2	NA
PRD000214;PRIDE_Exp_Complete_Ac_11931.xml	25	25	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11932.xml	85	85	NA	50	NA
PRD000214;PRIDE_Exp_Complete_Ac_11933.xml	60	60	NA	16	NA
PRD000214;PRIDE_Exp_Complete_Ac_11934.xml	20	20	NA	2	NA
PRD000214;PRIDE_Exp_Complete_Ac_11935.xml	90	90	NA	13	NA
PRD000214;PRIDE_Exp_Complete_Ac_11936.xml	51	51	NA	8	NA
PRD000214;PRIDE_Exp_Complete_Ac_11937.xml	82	82	NA	24	NA
PRD000214;PRIDE_Exp_Complete_Ac_11938.xml	52	52	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11939.xml	397	396	1	89	1
PRD000214;PRIDE_Exp_Complete_Ac_11940.xml	637	637	NA	87	NA
PRD000214;PRIDE_Exp_Complete_Ac_11941.xml	1072	1070	2	130	NA
PRD000214;PRIDE_Exp_Complete_Ac_11942.xml	417	417	NA	101	NA
PRD000214;PRIDE_Exp_Complete_Ac_11943.xml	358	342	16	98	14
PRD000214;PRIDE_Exp_Complete_Ac_11944.xml	573	568	5	241	4
PRD000214;PRIDE_Exp_Complete_Ac_11945.xml	208	208	NA	129	NA
PRD000214;PRIDE_Exp_Complete_Ac_11946.xml	945	935	10	15	NA
PRD000214;PRIDE_Exp_Complete_Ac_11947.xml	329	328	1	73	1
PRD000214;PRIDE_Exp_Complete_Ac_11948.xml	584	583	1	106	NA
PRD000214;PRIDE_Exp_Complete_Ac_11949.xml	347	345	2	142	2
PRD000214;PRIDE_Exp_Complete_Ac_11950.xml	437	436	1	243	1
PRD000214;PRIDE_Exp_Complete_Ac_11951.xml	10	10	NA	1	NA
PRD000214;PRIDE_Exp_Complete_Ac_11952.xml	51	51	NA	3	NA
PRD000214;PRIDE_Exp_Complete_Ac_11953.xml	116	116	NA	95	NA
PRD000214;PRIDE_Exp_Complete_Ac_11954.xml	398	397	1	89	1
PRD000214;PRIDE_Exp_Complete_Ac_11955.xml	20	20	NA	2	NA
PRD000214;PRIDE_Exp_Complete_Ac_11956.xml	680	679	1	32	NA
PRD000214;PRIDE_Exp_Complete_Ac_11957.xml	170	169	1	81	1
PRD000214;PRIDE_Exp_Complete_Ac_11958.xml	125	125	NA	104	NA
PRD000214;PRIDE_Exp_Complete_Ac_11959.xml	86	85	1	8	NA
PRD000214;PRIDE_Exp_Complete_Ac_11960.xml	280	279	1	45	1
PRD000214;PRIDE_Exp_Complete_Ac_11961.xml	30	30	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11962.xml	34	33	1	10	1
PRD000214;PRIDE_Exp_Complete_Ac_11963.xml	103	103	NA	14	NA
PRD000214;PRIDE_Exp_Complete_Ac_11964.xml	16	16	NA	NA	NA
PRD000214;PRIDE_Exp_Complete_Ac_11965.xml	43	43	NA	1	NA
PRD000214;PRIDE_Exp_Complete_Ac_11966.xml	1933	1922	11	49	1
